Don Bragg	USA 
 Carol	BRA 
Ana Cecilia Carrillo	PER 
Magalys Carvajal	CUB 
Daniel Castellani	ARG 
Suzana Ćebić	SRB 
Luisa Cervera	PER 
Yury Cherednik	URS 
Vladimir Chernyshov	URS 
Lyudmila Chernyshova	URS 
Yury Chesnokov	URS 
Mihai Chezan	ROU 
Cristina Chirichella	ITA 
Linda Chisholm	USA 
Micah Christenson	USA 
Aleksandra Chudina	URS 
Olga Chukanova	RUS 
Yefim Chulak	URS 
Raquel Chumpitaz	PER 
Vesna Čitaković	SRB 
Janet Cobbs	USA 
Sonia Colceru	ROU 
Hugo Conte	ARG 
Mirko Corsano	ITA 
Marlenis Costa	CUB 
Mihai Coste	ROU 
Rita Crockett	USA 
Tara Cross-Battle	USA 
Bob Ctvrtlik	USA 
Cui Yongmei	CHN 
Alcides Cuminetti	ARG 
Wiesław Czaja	POL 
Krystyna Czajkowska-Rawska	POL 
Francesco Dall'Olio	ITA 
Anna Danesi	ITA 
 Dante	BRA 
Dominique Daquin	FRA 
Nicole Davis	USA 
Monica De Gennaro	ITA 
Ferdinando De Giorgi	ITA 
Ángel Dennis	CUB 
Ivana Đerisilo	SRB 
Eduard Derzsei	ROU 
Joël Despaigne	CUB 
Mauro Di Bernardo	ITA 
Claudio Di Coste	ITA 
Raúl Diago	CUB 
Ana Díaz	CUB 
Erenia Díaz	CUB 
Ding Xia	CHN 
 Domingos Maracanã	BRA 
Vladimir Dorokhov	URS 
Aurel Drăgan	ROU 
Petyo Dragiev	BUL 
Fabian Drzyzga	POL 
Đorđe Đurić	SCG 
Dusty Dvorak	USA 
Yukiko Ebata	JPN 
 Éder	BRA 
Yumi Egami-Maruyama	JPN 
Paola Egonu	ITA 
Lori Endicott	USA 
 Fabi	BRA 
 Fabiana	BRA 
 Fabíola	BRA 
Denisse Fajardo	PER 
Olga Fateyeva	RUS 
Alessandro Fei	ITA 
Gheorghe Ferariu	ROU 
 Fernanda	BRA 
 Fernandão	BRA 
Ana Ivis Fernández	CUB 
Alfredo Figueredo	CUB 
Urszula Figwer	POL 
Laurie Flachmeier	USA 
Tsvetan Florov	BUL 
 Fofão	BRA 
Dmitry Fomin	RUS 
Scott Fortune	USA 
Mirka Francis	CUB 
Sébastien Frangolacci	FRA 
Jürgen Freiwald	GDR 
Yoshihide Fukao	JPN 
Makiko Furukawa	JPN 
 Gabi	BRA 
Miriam Gallardo	PER 
Vera Galushka-Duyunova	URS 
Yekaterina Gamova	RUS 
Constantin Ganciu	ROU 
Lyubomir Ganev	BUL 
Fê Garay	BRA 
Ana María García	CUB 
Rosa García	PER 
Víctor García	CUB 
Yosenki García	CUB 
Andrea Gardini	ITA 
Idalmis Gato	CUB 
Ramón Gato	CUB 
Wiesław Gawłowski	POL 
Krasimir Gaydarski	BUL 
Aleksandr Gerasimov	RUS 
Andrija Gerić	SRB 
Andrea Giani	ITA 
 Giba	BRA 
 Giovane	BRA 
Alisha Glass	USA 
Lena Godina	RUS 
Bohumil Golian	TCH 
Maria Golimowska	POL 
Nataliya Goncharova-Obmochayeva	RUS 
Gong Xiangyu	CHN 
Tatyana Gonobobleva	URS 
Bas van de Goor	NED 
Guido Görtzen	NED 
Stanisław Gościniak	POL 
Rob Grabert	NED 
Tatyana Gracheva	RUS 
Frantz Granvorka	FRA 
Pasquale Gravina	ITA 
Nikola Grbić	SRB 
Vladimir Grbić	SCG 
Sebastiano Greco	ITA 
Debbie Green	USA 
Mihai Grigorovici	ROU 
Zdeněk Groessl	TCH 
Georg Grozer	GER 
Piotr Gruszka	POL 
 Guerra	BRA 
Mavis Guilarte	CUB 
Max Günthör	GER 
 Gustavo	BRA 
Boris Gyuderov	BUL 
Horst Hagen	GDR 
Keiko Hama	JPN 
Yuriko Handa	JPN 
Tayyiba Haneef-Park	USA 
Christa Harmotto-Dietzen	USA 
He Qi	CHN 
Manfred Heine	GDR 
Henk Jan Held	NED 
André Heller	BRA 
Hubert Henno	FRA 
Aurora Heredia	PER 
Sonia Heredia	PER 
Ihosvany Hernández	CUB 
Osvaldo Hernández	CUB 
Kim Hill	USA 
 Hilma	BRA 
Max Holt	USA 
Hong Nam-Seon	KOR 
Fanny Hopeau	USA 
Martin van der Horst	NED 
Hou Yuzhu	CHN 
Hui Ruoqi	CHN 
Zdeněk Humhal	TCH 
Hwang Gyu-Ok	KOR 
Hwang He-Suk	PRK 
Flo Hyman	USA 
 Ida	BRA 
Krzysztof Ignaczak	POL 
Takako Iida	JPN 
Brunko Iliev	BUL 
Fabio Innocenti	ITA 
Kaori Inoue	JPN 
Sata Isobe	JPN 
Doina Ivănescu	ROU 
Evgeni Ivanov	BUL 
Vladimir Ivanov	URS 
Bryan Ivie	USA 
Toyoko Iwahara	JPN 
Lilia Izquierdo	CUB 
 Jaque	BRA 
Krystyna Jakubowska	POL 
Jang Ok-Rim	PRK 
Bojan Janić	SRB 
 Janina	BRA 
