Don Bragg	USA 
Alex Parygin	AUS 
Ali Asghar Pashapour-Alamdari	IRI 
Ismail Pashapour-Alamdari	IRI 
Ramalingam Pathmarajah	MAS 
Bandu Patil	IND 
Mark Patterson	IND 
Jaree Patthaarath	THA 
Kirill Pavlov	KAZ 
Violito Payla	PHI 
Ibrahim Payrovi	IRI 
Ahad Pazach	IRI 
Pei Jiayun	CHN 
Pei Xingru	CHN 
Ehsan Peighambari	IRI 
Claro Pellosis	PHI 
Peng Bo	CHN 
Peng Cheng-Min	TPE 
Peng Fei	CHN 
Peng Lin	CHN 
Peng Ping	CHN 
Peng Shuai	CHN 
Peng Xuwei	CHN 
Peng Yang	CHN 
Lyubov Perepelova	UZB 
Vyacheslav Pereteyko	UZB 
Yelena Pershina	KAZ 
Krishnamurty Perumal	IND 
Worapoj Petchkoom	THA 
V. J. Peter	IND 
Phạm Thị Hài	VIE 
Phạm Thị Thảo	VIE 
Phan Thị Hà Thanh	VIE 
Phamuansak Phasuwan	THA 
Preeda Phengdisth	THA 
Jincy Phillip	IND 
V. J. Phillips	IND 
Vinesh Phogat	IND 
Natthaphong Phonoppharat	THA 
Dulyarit Phuangthong	THA 
Phwa Sian Liong	INA 
Suchart Pichi	THA 
Marina Pikalova	KAZ 
Dhanraj Pillay	IND 
Vikram Pillay	IND 
Noodang Pimpol	THA 
Prateep Pinitwong	THA 
Lavy Pinto	IND 
Igor Pirekeyev	TKM 
Peera Piromrut	THA 
Niti Piyapan	THA 
Aleksandr Poddubny	KGZ 
Irina Podoynikova	KAZ 
Firouz Pojhan	IRI 
Greysia Polii	INA 
Prateep Polphantin	THA 
Udomporn Polsak	THA 
Aleksandr Polukhin	KAZ 
Vlad Polyakov	KAZ 
Wanchai Pongsri	THA 
Ashwini Ponnappa	IND 
Boonsak Ponsana	THA 
Salakjit Ponsana	THA 
Poon Fook Loke	MAS 
Krishna Poonia	IND 
Ernesto Porto	PHI 
Yelena Portova	KAZ 
M.R. Povamma	IND 
Ken Powell	IND 
Rohan Pradeep Kumara	SRI 
Jaslal Pradhan	IND 
Nikki Pradhan	IND 
Isidro del Prado	PHI 
Vichit Praianan	THA 
Wynne Prakusya	INA 
Sudket Prapakamol	THA 
Bahadur Prasad	IND 
Suriya Prasathinphimai	THA 
Niyom Prasertsom	THA 
Appunidage Premachandra	SRI 
Chonnapas Premwaew	THA 
Yevgeny Prokhin	KAZ 
Sumet Promna	THA 
Pu Qifeng	CHN 
Pu Wei	CHN 
Veerasit Puangnak	THA 
Oleg Pukhnaty	UZB 
Sushila Pukhrambam	IND 
Grigory Pulyayev	UZB 
Savita Punia	IND 
Puntsagiin Sükhbat	MGL 
Pürevjargalyn Lkhamdegd	MGL 
Kunhu Muhammed Puthanpurakkal	IND 
Juana Wangsa Putri	INA 
Pyon Kwang-Sun	PRK 
Jamal Al-Qabendi	KUW 
Alyan Al-Qahtani	KSA 
Muhammad Qasim	PAK 
Parviz Qelichkhani	IRI 
Qi Chunxia	CHN 
Qi Haifeng	CHN 
Qian Hong	CHN 
Qian Zhenhua	CHN 
Qiao Hong	CHN 
Qiao Sen	CHN 
Qiao Ya	CHN 
Qiao Yunping	CHN 
Qieyang Shenjie	CHN 
Qin Chenlu	CHN 
Qin Dongya	CHN 
Qin Kai	CHN 
Qin Wangping	CHN 
Qin Xuejing	CHN 
Qin Yiyuan	CHN 
Qin Zhi Jian	MAC 
Qiong Maimaitituersun	CHN 
Qiu Bo	CHN 
Qiu Chen	CHN 
Qiu Haiyan	CHN 
Qiu Jian	CHN 
Qiu Yuhan	CHN 
Qiu Ziao	CHN 
Qu Baowei	CHN 
Qu Feifei	CHN 
Qu Jingyu	CHN 
Qu Ridong	CHN 
Qu Xiaoming	CHN 
Qu Yun	CHN 
Qu Yunxia	CHN 
Quah Ting Wen	SGP 
Quah Zheng Wen	SGP 
Raymundo Quitoriano	PHI 
Jahon Qurbanov	TJK 
Yoav Ra'anan	ISR 
Safaa Raashid	IRQ 
Jean-Claude Rabbath	LBN 
Svetlana Radzivil	UZB 
Nikita Rafalovich	UZB 
Satriyo Rahadhani	INA 
Behrouz Rahbar	IRI 
Abdul Breesam Rahman	IRQ 
Nader Rahmati	IRI 
Mohammad Hassan Rahnavardi	IRI 
Jitu Rai	IND 
Tarundeep Rai	IND 
Rasoul Raisi	IRI 
Keevan Raj	MAS 
Leyla Rajabi	IRI 
Dandamudi Rajagopal	IND 
Mary Rajamani	MAS 
Arokia Rajiv	IND 
Sanjeev Rajput	IND 
Uktamzhon Rakhmonov	UZB 
Maksim Rakov	KAZ 
Bahadur Chettri Ram	IND 
Chandgi Ram	IND 
Siri Chand Ram	IND 
Raghunath Vokkaliga Ramachandra	IND 
Purukottam Ramachandran	IND 
Rengasamy Ramakrishnan	MAS 
Andi Ramang	INA 
Cristobal Ramas	PHI 
Ramasamy Subramaniam	MAS 
Rani Rampal	IND 
Shankar Ramu	MAS 
Muhammad Ramzan Ali	PAK 
Jaspal Rana	IND 
Mujahid Ali Rana	PAK 
Dalbahadur Ranamagar	NEP 
Poonam Rani	IND 
Kelly Subbanand Rao	IND 
Mary Rao	IND 
Vandana Rao	IND 
Essa Ismail Rashed	QAT 
Abdul Rashid	PAK 
Abdullah Al-Rashidi	IOA 
Mansour Rashidi	IRI 
Mohamed Rashjid	INA 
Akhtar Rasool	PAK 
Ghulam Rasool	PAK 
Shafqat Rasool	PAK 
Viren Rasquinha	IND 
Elshod Rasulov	UZB 
Vicha Ratanachote	THA 
Anat Ratanapol	THA 
Rajyavardhan Rathore	IND 
Sanchai Ratiwatana	THA 
Sonchat Ratiwatana	THA 
Sreejesh Parattu Raveendran	IND 
Ravsalyn Otgonbayar	MGL 
Abdul Razak	INA 
Ghulam Raziq	PAK 
Elias Recaido	PHI 
Jaime Recio	PHI 
Abdul Rehman	PAK 
Fazalur Rehman	PAK 
Habibur Rehman	PAK 
Latif-ur Rehman	IND 
Ren Cancan	CHN 
Ren Chengyuan	CHN 
Ren Jie	CHN 
Ren Lei	CHN 
Ren Liping	CHN 
Ren Qi	CHN 
Ren Ruiping	CHN 
Ren Wenjun	CHN 
Ren Ye	CHN 
Zelin Resiana	INA 
Alberto Reynoso	PHI 
Ali Reza Rezaei	IRI 
Ri Chol-Guk	PRK 
Ri Hyon-Ok	PRK 
Ri Kum-Suk	PRK 
Ri Kyong-Ok	PRK 
Ri Mi-Gyong	PRK 
Ri Myong-Sun	PRK 
Ri Se-Gwang	PRK 
Ri Un-Gyong	PRK 
Ri Un-Hyang	PRK 
Ri Un-Suk	PRK 
Ri Yong-Sam	PRK 
Carolina Rieuwpassa	INA 
Bernardo Rimarim	PHI 
Pandelela Rinong	MAS 
Toni Rivero	PHI 
Muhammad Rizwan	PAK 
Ro Chol-Ok	PRK 
Ro Gap-Taik	KOR 
Tricia Roberts	THA 
Bertrand Roiné	QAT 
Albert Rop	BRN 
Edgardo Roque	PHI 
Lucien Rosa	SRI 
Gerardo Rosario	PHI 
Monsour del Rosario	PHI 
Rodrigo del Rosario	PHI 
Salvador del Rosario	PHI 
Zvi Rosen	ISR 
Hassan Roshan	IRI 
Jamaluddin Roslan	MAS 
Tatyana Roslanova	KAZ 
Mohammad Roudaki	IRI 
Sobhan Rouhi	IRI 
Ehsan Rouzbahani	IRI 
Ru Guang	CHN 
Ruan Yi	CHN 
Sergey Rubtsov	KAZ 
Mikhail Ruday	KAZ 
Opas Ruengpanyawoodhi	THA 
Amnat Ruenroeng	THA 
Suradi Rukimin	INA 
Ali Al-Rumaihi	QAT 
Raema Lisa Rumbewas	INA 
Fumio Ryosenan	JPN 
Olga Rypakova	KAZ 
Ryu Bun-Hwa	PRK 
Ryu Han-Su	KOR 
Ryu Hyeon-Jin	KOR 
Ryu Myong-Hong	PRK 
Ryu Yun-Ji	KOR 
Yevgeny Ryzhkov	KAZ 
 Saad Abdul-Amir	IRQ 
Omar Saad	MAS 
Haidar Sabah	IRQ 
Arumugam Sabapathy	MAS 
Hussain Taher Al-Sabee	KSA 
Nur Dhabitah Binti Sabri	MAS 
Nobuyoshi Sadanaga	JPN 
Mohammad Sadeghi	IRI 
Mamoon Sadiq	PAK 
Muhammad Sadiq	PAK 
Munir Sadiq	PAK 
Na'eem Saed Mubarak	KUW 
Alia Saeed	UAE 
Anjum Saeed	PAK 
Hussain Saeed	IRQ 
Hadi Saei	IRI 
Faraj Saeid	KUW 
Abbas Saeidi Tanha	IRI 
Maulwi Saelan	INA 
Jaruwat Saensuk	THA 
Muhammad Safdar	PAK 
Jamal Al-Saffar	KSA 
Adilkhan Sagindykov	KAZ 
Sambhu Saha	IND 
Kosala Sahabandu	SRI 
Oshin Sahakian	IRI 
Nusrat Iqbal Sahi	PAK 
Asaad Said Saif	QAT 
Ramziddin Saidov	UZB 
Rustam Saidov	UZB 
Yasuyuki Saigo	JPN 
Norikatsu Saikawa	JPN 
Mika Saiki	JPN 
Bana Sailani	PHI 
Gopal Saini	IND 
Aiko Saito	JPN 
Haruka Saito	JPN 
Hiroshi Saito	JPN 
Hitoshi Saito	JPN 
Ikuzo Saito	JPN 
Katsuya Saito	JPN 
Kiyoshi Saito	JPN 
Miki Saito	JPN 
Naoko Saito	JPN 
Shigemi Saito	JPN 
Takashi Saito	JPN 
Yoshifumi Saito	JPN 
Yoshihiko Saito	JPN 
Yoshihiro Saito	JPN 
Sayed Hamid Sajjadi	IRI 
Taihei Saka	JPN 
Kazuhito Sakae	JPN 
Hirofumi Sakai	JPN 
Hiroko Sakai	JPN 
Katsuyuki Sakai	JPN 
Kazufumi Sakai	JPN 
Natsumi Sakai	JPN 
Sho Sakai	JPN 
Toshiro Sakai	JPN 
Yoshinori Sakai	JPN 
Akifumi Sakamoto	JPN 
Hiroshi Sakamoto	JPN 
Kazuko Sakamoto	JPN 
Kiyomi Sakamoto	JPN 
Naoya Sakamoto	JPN 
Seiya Sakamoto	JPN 
Takao Sakamoto	JPN 
Tsutomu Sakamoto	JPN 
Masahiro Sakata	JPN 
Megumi Sakata	JPN 
Lukman Saketi	INA 
Aktawat Sakoolchan	THA 
Junko Sakurai	JPN 
Koji Sakurai	JPN 
Naoko Sakurai	JPN 
Koji Sakurama	JPN 
Abolfazl Salabi	IRI 
Muhammad Salah-ud-din	PAK 
Ali Mohamed Salah	QAT 
Mohamed Mansour Salah	QAT 
Lucila Salao	PHI 
Nasiba Salayeva-Surkieva	TKM 
David Saldadze	UKR 
Pons Saldaña	PHI 
P. B. A. Saleh	IND 
Jaber Salem	QAT 
Joe Salem	LBN 
Omar Al-Salfa	UAE 
Mohamed Al-Salhi	KSA 
Ismail Salman	IRQ 
Jafar Salmasi	IRI 
Antonio Saloso	PHI 
Mohamed Reza Samadi	IRI 
Bhagirath Samai	IND 
Sambuugiin Dashdulam	MGL 
Abbas Samimi	IRI 
 Samiullah	PAK 
Samnang Prak	CAM 
Lely Sampurno	INA 
Roslinda Samsu	MAS 
Bernardo San Juan	PHI 
Sandagsürengiin Erdenebat	MGL 
Kamaljit Sandhu	IND 
Teraporn Sang-Ano	THA 
Sukanya Sang-Nguen	THA 
Sangidorjiin Adilbish	MGL 
Rabieb Sangnual	THA 
Sann Myint	MYA 
Yumeka Sano	JPN 
Francisca Sañopal	PHI 
Nongnuch Sanrat	THA 
Colin Santa Maria	MAS 
Meliton Santos	PHI 
Simon Santoso	INA 
Hassan Sardar	PAK 
Muhammad Sardar	PAK 
Abdulqader Sarhan	QAT 
Shinta Mulia Sari	SGP 
Danijel Šarić	QAT 
Kazem Sarikhani	IRI 
Rahi Sarnobat	IND 
Bakhyt Sarsekbayev	KAZ 
Mitsugi Sarudate	JPN 
Taketsugu Saruwatari	JPN 
Ghulam Sarwar	PAK 
Muhammad Sarwar	PAK 
Kyoko Sasage	JPN 
Jiro Sasaki	JPN 
Miki Sasaki	JPN 
Tatsuo Sasaki	JPN 
Tetsuhide Sasaki	JPN 
Tomoyuki Sasaki	JPN 
Yasushige Sasaki	JPN 
Makoto Sasamoto	JPN 
Hideo Sasayama	JPN 
Aiko Sato	JPN 
Haruo Sato	JPN 
Hiroko Sato	JPN 
Hiroya Sato	JPN 
Ichiko Sato	JPN 
Maiko Sato	JPN 
Megumi Sato	JPN 
Mitsuru Sato	JPN 
Rika Sato	JPN 
Saburo Sato	JPN 
Sadao Sato	JPN 
Sayaka Sato	JPN 
Shinichi Sato	JPN 
Takanao Sato	JPN 
Tomoaki Sato	JPN 
Toshiharu Sato	JPN 
Yasutaka Sato	JPN 
Yoshiko Sato	JPN 
Yuko Sato	JPN 
Mohammad Sattar	IND 
Zhomart Satubaldin	KAZ 
Prince Abdullah Al-Saud	KSA 
Aleksandr Savitsky	KAZ 
Bunkichi Sawada	JPN 
Keisuke Sawaki	JPN 
Naoko Sawamatsu	JPN 
Daichi Sawano	JPN 
Ammar Sbeihi	JOR 
Thomas Schertwitis	GER 
Allan Schofield	IND 
Victor Scvortov	UAE 
Jude Sebastian	IND 
Seiki Segawa	JPN 
Khamis Abdullah Seifeddine	QAT 
Ibrahim Seifpour	IRI 
Ashraf El-Seify	QAT 
Ruslan Seilkhanov	KAZ 
Sandeep Sejwal	IND 
Kazuto Seki	JPN 
Yoshifumi Seki	JPN 
Naomi Sekido	JPN 
Aya Sekine	JPN 
Toshihiko Seko	JPN 
Thirumal Valavan Selvaraj	IND 
Karu Selvaratnam	MAS 
Fumihisa Semizuki	JPN 
Yuliani Sentoso	INA 
Seo Gang-Uk	KOR 
Seo Gwang-Mi	KOR 
Seo Hyo-Seon	KOR 
Seo Hyo-Won	KOR 
Seo In-Taek	KOR 
Seo Jeong-Eun	KOR 
Seo Jeong-Gyun	KOR 
Seo Jeong-Won	KOR 
Seo Jong-Ho	KOR 
Kyoko Seo	JPN 
Seo Mi-Jeong	KOR 
Seo Sang-Yeong	KOR 
Seo Seon-Hwa	KOR 
Seo Seong-Jun	KOR 
Seo Yeong-Ju	KOR 
Seo Yong-Geun	KOR 
Seo Yong-Seok	KOR 
Seok Eun-Mi	KOR 
Seok Ha-Jeong	KOR 
Seok Min-Hui	KOR 
Seon So-Eun	KOR 
Seong Jeong-A	KOR 
Seong Ji-Hyeon	KOR 
Seong Min	KOR 
Seong Nak-Gun	KOR 
Eddie Sequeira	IND 
Jasmine Ser	SGP 
Anastasiya Serdyukova	UZB 
Sergey Sergeyev	KAZ 
Nataliya Sergeyeva	KAZ 
Sergey Sergin	KAZ 
Torlarp Sethsothorn	THA 
Jadi Setiadi	INA 
Hendra Setiawan	INA 
Artemy Sevostyanov	KAZ 
Shamseddin Seyyed Abbasi	IRI 
Sha Guoli	CHN 
Sergey Shabalin	KAZ 
Daulet Shabanbay	KAZ 
Mohsen Shadi	IRI 
Mahvash Shafaie	IRI 
Shazada Muhammad Shah-Rukh	PAK 
Khamlillal Shah	IND 
Mubarak Shah	PAK 
Syed Asghar Ali Shah	PAK 
Syed Kashif Shah	PAK 
Muhammad Shahbaz	PAK 
Muhammad Shahid	IND 
Murat Shakenov	KAZ 
Yuliya Shakhova	UZB 
Sergey Shakimov	KAZ 
Prince Faisal Al-Shalan	KSA 
Yelena Shalygina	KAZ 
Mubarak Shami	QAT 
Naser Al Shami	SYR 
Fawzi Al-Shammari	KUW 
Hamoud Al-Shammari	KUW 
Ahmad Al-Shamy	SYR 
Shan Hong	CHN 
Shan Jun	CHN 
Shan Tao	CHN 
Shang Chunsong	CHN 
Shang Keyuan	CHN 
Jata Shankar	IND 
Thulukhanam Shanmugam	IND 
Kuhan Shanmuganathan	MAS 
Manikam Shanmuganathan	MAL 
Sri Shanmuganathan	MAS 
Shao Ting	CHN 
Shao Yiwen	CHN 
Abdulkhakim Shapiyev	KAZ 
Hisham Al-Sharaf Rashad	KUW 
Abdullah Sharbatly	KSA 
Zahid Sharif	PAK 
Mital Sharipov	KGZ 
Jaman Lal Sharma	IND 
Vineet Kumar Sharma	IND 
Haricharan Shaw	IND 
Gershon Shefa	ISR 
Abdullah Mohamed Al-Sheib	QAT 
Jahad Abdullah Al-Sheikh	OMA 
Muhammad Zahid Sheikh	PAK 
Shahnaz Sheikh	PAK 
Shek Wai Hung	HKG 
Zhayna Shekerbekova	KAZ 
Shen Bao-Ni	TPE 
Shen Chen	CHN 
Shen Duo	CHN 
Shen Jianqiang	CHN 
Shen Jun	CHN 
Shen Pingan	CHN 
Shen Qiong	CHN 
Shen Sheng	CHN 
Shen Shengfei	CHN 
Shen Weiwei	CHN 
Shen Xiaoying	CHN 
Sheng Jiang	CHN 
Sheng Zetian	CHN 
Mike Shepherdson	MAL 
Salim Sherwani	PAK 
Channa Shezifi	ISR 
Shi Dongpeng	CHN 
Shi Fangjing	
Shi Guihong	CHN 
Shi Jialuo	CHN 
Shi Jinglin	CHN 
Shi Qinglan	CHN 
Shi Tengfei	CHN 
Shi Tingmao	CHN 
Shi Wei	CHN 
Shi Yang	CHN 
Chieno Shibata	JPN 
Ryuichi Shibata	JPN 
Ayano Shibuki	JPN 
Hiroshi Shibutani	JPN 
Yoriko Shida	JPN 
Masashi Shiga	JPN 
Mitsuaki Shiga	JPN 
Yoshihiro Shiga	JPN 
Shih Chih-Wei	TPE 
Andrey Shilin	UZB 
Miwako Shimada	JPN 
Setsuko Shimada	JPN 
Thomas Shimada	JPN 
Ichiro Shimamura	JPN 
Yatsuo Shimaya	JPN 
Keigo Shimizu	JPN 
Kunihiro Shimizu	JPN 
Michiko Shimizu	JPN 
Minami Shimizu	JPN 
Sakiko Shimizu	JPN 
Satoshi Shimizu	JPN 
Yoji Shimizu	JPN 
Yusuke Shimizu	JPN 
Aya Shimokozuru	JPN 
Takeo Shimotori	JPN 
Vitaly Shin	KAZ 
Shinichi Shinohara	JPN 
Yuko Shintake	JPN 
Hisatoshi Shintaku	JPN 
Kazuya Shiojiri	JPN 
Hirokazu Shiokawa	JPN 
Reiko Shiota	JPN 
Mamoru Shiragami	JPN 
Makoto Shiraishi	JPN 
Kanemaru Shiratori	JPN 
Katsuhiro Shiratori	JPN 
Suma Shirur	IND 
Olga Shishigina	KAZ 
Rie Shito	JPN 
Vladimir Shmakov	UZB 
Aleksey Shmider	KAZ 
Joram Shnider	ISR 
J. J. Shobha	IND 
Shutaro Shoji	JPN 
Dmitry Shokin	UZB 
Haydar Shonjani	IRI 
Manoj Bahadur Shrestha	NEP 
Zelig Shtroch	ISR 
Andrey Shturbabin	UZB 
Shu Junrong	CHN 
Shu Qingquan	CHN 
Shinichi Shudo	JPN 
Bilisuma Shugi Gelassa	BRN 
Shui Qingxia	CHN 
Itzhak Shum	ISR 
Lyudmila Shumilova	KAZ 
Aleksandr Shvedov	KAZ 
Yaroslava Shvedova	KAZ 
Dmitriy Shvetsov	UZB 
Yerzhan Shynkeyev	KAZ 
Si Tianfeng	CHN 
Si Yajie	CHN 
Adul Sidek Mohamed	MAS 
Ajib Sidek Mohamed	MAS 
Alan Sidek Mohamed	MAS 
Avneet Sidhu	IND 
Heena Sidhu	IND 
Pavel Sidorov	KAZ 
Siew Shaw Her	SGP 
Saroj Silpikul	THA 
Sim Deok-Seop	KOR 
Sim Eun-Jeong	KOR 
Sim Gwon-Ho	KOR 
Sim Hae-In	KOR 
Sim Jae-Hong	KOR 
Sim Jae-Yeong	KOR 
Sim Min-Ji	KOR 
Sim Sang-Ok	KOR 
Hendrik Simangunsong	INA 
Majid Reza Simkhah Asil	IRI 
Brandon Simpson	JAM 
Sin A-Ram	KOR 
Sin Chang-Mu	KOR 
Sin Dae-Cheol	KOR 
Sin Dong-Hyeon	KOR 
Sin Dong-Pa	KOR 
Sin Eun-Cheol	KOR 
Sin Hyeon-Ju	KOR 
Sin Jeong-Ja	KOR 
Sin Jin-Sik	KOR 
Sin Jong-Hun	KOR 
Sin Jun-Seop	KOR 
Sin Myong-Ok	PRK 
Sin Myong-Su	PRK 
Sin Nam-Ho	PRK 
Sin Sang-Gyu	KOR 
Sin Seok-Gyo	KOR 
Sin Seok-Gyun	KOR 
Sin Seon-Ho	KOR 
Sin Seong-Ja	KOR 
Sin Yeong-Cheol	KOR 
Sin Yeong-Eun	KOR 
Sin Yeong-Seok	KOR 
P. V. Sindhu	IND 
Josephine Mary Singarayar	MAS 
Mohinder Singh Amar	MAS 
Gurvinder Singh Chandi	IND 
Vijay Singh Chauhan	IND 
Palwinder Singh Cheema	IND 
Jagjit Singh Chet	MAS 
Baljit Singh Dhillon	IND 
Neelam Jaswant Singh Dogra	IND 
Avtar Singh Gill	MAS 
Mohinder Singh Gill	IND 
Ramandeep Singh Grewal	IND 
Sandhu Singh Gurbir	IND 
Sarjit Singh Kyndan	MAS 
Gurbachan Singh Randhawa	IND 
Chandan Singh Rawat	IND 
Rajinder Singh Rawat	IND 
Baljit Singh Saini	IND 
Manavjit Singh Sandhu	IND 
Nashatar Singh Sidhu	MAS 
Surinder Singh Sodhi	IND 
Khazan Singh Tokas	IND 
Ajit Singh	IND 
Ajitpal Singh	IND 
Ajmer Singh	IND 
Akashdeep Singh	IND 
Annu Raj Singh	IND 
Bahadur Singh	IND 
Bakshish Singh	IND 
Balbir Singh	IND 
Balbir Singh, Sr.	IND 
Baldev Singh	IND 
Balkrishan Singh	IND 
Balwinder Singh	IND 
Bhim Singh	IND 
Bishambar Singh	IND 
Chain Singh	IND 
Chand Singh	IND 
Charanjit Singh	IND 
Chhota Singh	IND 
Darshan Singh	IND 
Dharam Singh	IND 
Dharamvir Singh	IND 
Gagan Ajit Singh	IND 
Gindi Singh	IND 
Gogi Singh	IND 
Gurbaj Singh	IND 
Gurbux Singh	IND 
Gurcharan Singh	IND 
Gurdev Singh	IND 
Gurmail Singh	IND 
Gurpreet Singh	IND 
Gurtej Singh	IND 
Harbinder Singh	IND 
Harcharan Singh	IND 
Hardeep Singh	IND 
Harmanpreet Singh	IND 
Harmik Singh	IND 
Harpreet Singh	IND 
Inderpal Singh	IND 
Jagbir Singh	IND 
Jagjit Singh	IND 
Jit Singh	IND 
Jugraj Singh	IND 
Kothajit Singh	IND 
Kulwant Singh	IND 
Labh Singh	IND 
Lakha Singh	IND 
Makhan Singh	IND 
Malwa Singh	IND 
Mangal Singh	IND 
Manjit Singh	IND 
Mansher Singh	IND 
Milkha Singh	IND 
Mohinder Singh	IND 
Mohinder Pal Singh	IND 
Mukhbain Singh	IND 
Mukhtiar Singh	IND 
Neel Kamal Singh	IND 
Paramjit Singh	IND 
Pargat Singh	IND 
Prabhjot Singh	IND 
Rajinder Singh	IND 
Ramandeep Singh	IND 
Rupinder Pal Singh	IND 
Sajan Singh	IND 
Sandeep Singh	IND 
Sardar Singh	IND 
Sarvanjit Singh	IND 
Satpal Singh	IND 
Savinder Singh	MAS 
Sawarn Singh	IND 
Shakti Singh	IND 
Shivendra Singh	IND 
Shivnath Singh	IND 
Sohan Singh	IND 
Sri Ram Singh	IND 
Sudha Singh	IND 
Surat Singh	IND 
Tarsem Singh	IND 
Thoiba Singh	IND 
Udham Singh	IND 
Varinder Singh	IND 
Vijender Singh	IND 
Vivek Singh	IND 
Muhammad Siraj-Din	PAK 
Siripong Siripool	THA 
Damrong Sirisakorn	THA 
Ratapong Sirisanont	THA 
Nehemia Sirkis	ISR 
Igor Sitnikov	KAZ 
Sergey Skrypnik	KAZ 
Wessam Slamana	SYR 
Zhansay Smagulov	KAZ 
Nurzhan Smanov	KAZ 
Yeldos Smetov	KAZ 
Olga Smirnova	KAZ 
Yury Smolovoy	KAZ 
Paitoon Smuthranond	THA 
So Gil-San	PRK 
So Sau Wah	HKG 
Rishod Sobirov	UZB 
Koshi Sobu	JPN 
Kenji Soda	JPN 
Ronjan Sodhi	IND 
Sodnomyn Gombo	MGL 
Go Soeda	JPN 
Kameli Soejima	JPN 
Soh Chin Aun	MAS 
Mehdi Sohrabi	IRI 
Hamed Sohrabnejad	IRI 
Zaurbek Sokhiyev	UZB 
Reza Sokhtesaraie	IRI 
Ali Reza Soleimani	IRI 
Hadi Soua'an Al-Somaily	KSA 
Chitra Soman	IND 
Atsushi Somatomo	JPN 
Pablo Somblingo	PHI 
Mika Someya	JPN 
Son Bong-Gak	KOR 
Son Gap-Do	KOR 
Son Heung-Min	KOR 
Son Hui-Jeong	KOR 
Son Hyeon-Mi	KOR 
Son Je-Yong	KOR 
Son Jeong-Im	KOR 
Son Jin-Hwan	KOR 
Son Ju-Il	KOR 
Son Min-Han	KOR 
Son Sang-Pil	KOR 
Son Seong-Cheol	KOR 
Son Seung-Mo	KOR 
Son Wan-Ho	KOR 
Son Yak-Seon	KOR 
Son Yeon-Jae	KOR 
Son Yeong-Hui	KOR 
Ali Safa Sonboli	IRI 
Wachara Sondee	THA 
Mikiko Sone	JPN 
Song Ah Sim	HKG 
Song Aimin	CHN 
Song Dong-Uk	KOR 
Song Donglun	CHN 
Song Gyo-Sik	KOR 
Song Hae-Rim	KOR 
Song Hak-Seong	KOR 
Song In-Jun	KOR 
Song Jae-Ung	KOR 
Song Ji-Hyeon	KOR 
Song Jin-U	KOR 
Song Jinwei	CHN 
Song Jong-Sik	KOR 
Song Jong-Sun	PRK 
Song Ligang	CHN 
Song Myeong-Seop	KOR 
Song Nina	CHN 
Song Qingling	CHN 
Song Seok-Chan	KOR 
Song Seong-Il	KOR 
Song Seong-Tae	KOR 
Song Seung-Ho	KOR 
Song Sun-Bong	PRK 
Song Sun-Cheon	KOR 
Song Weigang	CHN 
Song Xiaobo	CHN 
Song Xiaoyun	CHN 
Song Xiaqun	CHN 
Song Yi	CHN 
Sukda Songsam	THA 
Varsha Soni	IND 
Prema Maya Sonir	IND 
Chanatip Sonkham	THA 
Yoshiro Sonoda	JPN 
Sonu Kyong-Sun	PRK 
Soo Beng Kiang	MAS 
Vitsanu Sophanich	THA 
Chainarong Sophonpong	THA 
Keita Soraoka	JPN 
Sorn Seavmey	CAM 
Hossein Soroudi	IRI 
Nabi Sorouri	IRI 
Koji Sotomura	JPN 
Tetsuya Sotomura	JPN 
Hossein Soudipour	IRI 
Henry Souza	HKG 
Leonid Spiridonov	KAZ 
Preeja Sreedharan	IND 
Paradorn Srichaphan	THA 
Savitree Srichure	THA 
Saleerat Srimek	THA 
Ratjai Sripet	THA 
Surapong Sripirom	THA 
Ta Sriratana	THA 
Salai Srisathorn	THA 
Bantow Srisook	THA 
Pornpim Srisurat	THA 
Rewadee Srithoa	THA 
Goran Stojanović	QAT 
Dmitry Strykov	UZB 
Su Bingtian	CHN 
Su Hui	CHN 
Su Li-Wen	TPE 
Su Rifeng	CHN 
Su Wanwen	CHN 
Su Yiping	CHN 
Su Yuling	CHN 
Charly Suarez	PHI 
Ricky Subagja	INA 
Maram Sudarmodjo	INA 
Rukma Sudjana	INA 
Shingo Suetsugu	JPN 
Satoko Suetsuna	JPN 
Hitoshi Sugai	JPN 
Noriko Sugawara-Narazaki	JPN 
Chieko Sugawara	JPN 
Risa Sugawara	JPN 
Sadatoshi Sugawara	JPN 
Takeo Sugawara	JPN 
Yasaburo Sugawara	JPN 
Icuk Sugiarto	
Atsuko Sugimoto	JPN 
Kimio Sugimoto	JPN 
Mika Sugimoto	JPN 
Kuniyoshi Sugioka	JPN 
Yuichi Sugita	JPN 
Taizo Sugitani	JPN 
Masanori Sugiura	JPN 
Ai Sugiyama	JPN 
Kayoko Sugiyama	JPN 
Sachiko Sugiyama	JPN 
Takeo Sugiyama	JPN 
Wirmandi Sugriat	INA 
 Suharyadi	INA 
Sui Feifei	CHN 
Sui Lu	CHN 
Sui Shengsheng	CHN 
Sui Xinmei	CHN 
Chaiya Sukchinda	THA 
Nootcharin Sukkhongdumnoen	THA 
Mona Sulaiman	PHI 
Oka Sulaksana	INA 
Mohamed Suleiman	QAT 
Ilyas Suleymenov	KAZ 
Erma Sulistyaningsih	INA 
Anwer Sultan	IND 
Bakhodirdzhon Sultanov	UZB 
